"counts","Type","Date"
6,"onSitePositiveStudents","Jan 11, 2021 9:34:00 AM"
6,"onSitePositiveTeachers","Jan 11, 2021 9:34:00 AM"
0,"onSitePositiveStaff","Jan 11, 2021 9:34:00 AM"
12,"onSitePositiveTotal","Jan 11, 2021 9:34:00 AM"
10,"offSitePositiveStudents","Jan 11, 2021 9:34:00 AM"
0,"offSitePositiveTeachers","Jan 11, 2021 9:34:00 AM"
0,"offSitePositiveStaff","Jan 11, 2021 9:34:00 AM"
10,"offSitePositiveTotal","Jan 11, 2021 9:34:00 AM"
0,"schoolAdministeredTestedStudents","Jan 11, 2021 9:34:00 AM"
0,"schoolAdministeredTestedTeachers","Jan 11, 2021 9:34:00 AM"
0,"schoolAdministeredTestedStaff","Jan 11, 2021 9:34:00 AM"
0,"schoolAdministeredTestedTotal","Jan 11, 2021 9:34:00 AM"
48,"eclrsTests","Jan 11, 2021 9:34:00 AM"
5,"eclrsPositives","Jan 11, 2021 9:34:00 AM"
0,"onSiteStudentTests","Jan 11, 2021 9:34:00 AM"
0,"onSiteTeacherTests","Jan 11, 2021 9:34:00 AM"
0,"onSiteStaffTests","Jan 11, 2021 9:34:00 AM"
0,"offSiteStudentTests","Jan 11, 2021 9:34:00 AM"
0,"offSiteTeacherTests","Jan 11, 2021 9:34:00 AM"
0,"offSiteStaffTests","Jan 11, 2021 9:34:00 AM"
