"OBJECTID","ZIP","CONFIRMED","RECOVERED","Shape__Area","Shape__Length","Date"
7,13210,513,419,121905640.670776,57335.7651082135,2020-11-09
12,13208,469,410,68307159.7624512,48130.7427291604,2020-11-09
4,13205,427,386,86419018.9277344,55929.5836657691,2020-11-09
9,13203,459,370,47834286.2580566,35256.502661724,2020-11-09
10,13204,319,260,138470966.714478,58264.9609811198,2020-11-09
3,13207,229,211,81889567.5168457,64412.8619051985,2020-11-09
11,13206,171,144,54675608.9171753,36964.9795369121,2020-11-09
5,13202,121,97,29913051.0748291,27251.3483985363,2020-11-09
8,13224,93,84,51407562.5394897,39761.1292276494,2020-11-09
13,13214,70,58,14781597.3684692,26803.5491393636,2020-11-09
2,13215,3,3,4926249.24188232,14693.0688167955,2020-11-09
6,13219,2,1,4748296.46783447,20860.7879686878,2020-11-09
1,13120,0,0,9650198.5168457,14274.2935279528,2020-11-09
7,13210,521,428,121905640.670776,57335.7651082135,2020-11-10
12,13208,475,416,68307159.7624512,48130.7427291604,2020-11-10
4,13205,430,389,86419018.9277344,55929.5836657691,2020-11-10
9,13203,462,374,47834286.2580566,35256.502661724,2020-11-10
10,13204,321,268,138470966.714478,58264.9609811198,2020-11-10
3,13207,234,213,81889567.5168457,64412.8619051985,2020-11-10
11,13206,176,148,54675608.9171753,36964.9795369121,2020-11-10
5,13202,123,101,29913051.0748291,27251.3483985363,2020-11-10
8,13224,95,87,51407562.5394897,39761.1292276494,2020-11-10
13,13214,70,58,14781597.3684692,26803.5491393636,2020-11-10
2,13215,3,3,4926249.24188232,14693.0688167955,2020-11-10
6,13219,2,2,4748296.46783447,20860.7879686878,2020-11-10
1,13120,0,0,9650198.5168457,14274.2935279528,2020-11-10
7,13210,587,431,121905640.670776,57335.7651082135,2020-11-11
12,13208,481,420,68307159.7624512,48130.7427291604,2020-11-11
4,13205,434,391,86419018.9277344,55929.5836657691,2020-11-11
9,13203,466,374,47834286.2580566,35256.502661724,2020-11-11
10,13204,329,278,138470966.714478,58264.9609811198,2020-11-11
3,13207,236,215,81889567.5168457,64412.8619051985,2020-11-11
11,13206,188,150,54675608.9171753,36964.9795369121,2020-11-11
5,13202,125,102,29913051.0748291,27251.3483985363,2020-11-11
8,13224,97,87,51407562.5394897,39761.1292276494,2020-11-11
13,13214,70,58,14781597.3684692,26803.5491393636,2020-11-11
2,13215,3,3,4926249.24188232,14693.0688167955,2020-11-11
6,13219,2,2,4748296.46783447,20860.7879686878,2020-11-11
1,13120,0,0,9650198.5168457,14274.2935279528,2020-11-11
7,13210,645,438,121905640.670776,57335.7651082135,2020-11-12
12,13208,489,421,68307159.7624512,48130.7427291604,2020-11-12
4,13205,436,394,86419018.9277344,55929.5836657691,2020-11-12
9,13203,466,376,47834286.2580566,35256.502661724,2020-11-12
10,13204,335,278,138470966.714478,58264.9609811198,2020-11-12
