"counts","Type","Date"
6,"onSitePositiveStudents","Nov 12, 2020 12:37:38 PM"
4,"onSitePositiveTeachers","Nov 12, 2020 12:37:38 PM"
3,"onSitePositiveStaff","Nov 12, 2020 12:37:38 PM"
13,"onSitePositiveTotal","Nov 12, 2020 12:37:38 PM"
10,"offSitePositiveStudents","Nov 12, 2020 12:37:38 PM"
1,"offSitePositiveTeachers","Nov 12, 2020 12:37:38 PM"
0,"offSitePositiveStaff","Nov 12, 2020 12:37:38 PM"
11,"offSitePositiveTotal","Nov 12, 2020 12:37:38 PM"
0,"schoolAdministeredTestedStudents","Nov 12, 2020 12:37:38 PM"
26,"schoolAdministeredTestedTeachers","Nov 12, 2020 12:37:38 PM"
33,"schoolAdministeredTestedStaff","Nov 12, 2020 12:37:38 PM"
59,"schoolAdministeredTestedTotal","Nov 12, 2020 12:37:38 PM"
272,"eclrsTests","Nov 12, 2020 12:37:38 PM"
27,"eclrsPositives","Nov 12, 2020 12:37:38 PM"
6,"onSiteStudentTests","Nov 12, 2020 12:37:38 PM"
2,"onSiteTeacherTests","Nov 12, 2020 12:37:38 PM"
1,"onSiteStaffTests","Nov 12, 2020 12:37:38 PM"
0,"offSiteStudentTests","Nov 12, 2020 12:37:38 PM"
0,"offSiteTeacherTests","Nov 12, 2020 12:37:38 PM"
0,"offSiteStaffTests","Nov 12, 2020 12:37:38 PM"
