"counts","Type","Date"
12,"onSitePositiveStudents","Jan 11, 2021 9:34:00 AM"
11,"onSitePositiveTeachers","Jan 11, 2021 9:34:00 AM"
13,"onSitePositiveStaff","Jan 11, 2021 9:34:00 AM"
36,"onSitePositiveTotal","Jan 11, 2021 9:34:00 AM"
18,"offSitePositiveStudents","Jan 11, 2021 9:34:00 AM"
0,"offSitePositiveTeachers","Jan 11, 2021 9:34:00 AM"
0,"offSitePositiveStaff","Jan 11, 2021 9:34:00 AM"
18,"offSitePositiveTotal","Jan 11, 2021 9:34:00 AM"
0,"schoolAdministeredTestedStudents","Jan 11, 2021 9:34:00 AM"
0,"schoolAdministeredTestedTeachers","Jan 11, 2021 9:34:00 AM"
0,"schoolAdministeredTestedStaff","Jan 11, 2021 9:34:00 AM"
0,"schoolAdministeredTestedTotal","Jan 11, 2021 9:34:00 AM"
716,"eclrsTests","Jan 11, 2021 9:34:00 AM"
46,"eclrsPositives","Jan 11, 2021 9:34:00 AM"
0,"onSiteStudentTests","Jan 11, 2021 9:34:00 AM"
0,"onSiteTeacherTests","Jan 11, 2021 9:34:00 AM"
1,"onSiteStaffTests","Jan 11, 2021 9:34:00 AM"
0,"offSiteStudentTests","Jan 11, 2021 9:34:00 AM"
0,"offSiteTeacherTests","Jan 11, 2021 9:34:00 AM"
0,"offSiteStaffTests","Jan 11, 2021 9:34:00 AM"
